searched_query,searched_channel,searched_district,searched_state,name,href,rating,category,latitude,longitude
"hotel near Johor Bahru, Johor",hotel,Johor Bahru,Johor,Holiday Inn Johor Bahru City Centre by IHG,https://www.google.com/maps/place/Holiday+Inn+Johor+Bahru+City+Centre+by+IHG/data=!4m10!3m9!1s0x31da12c3569516f5:0xb1531d59a265b4ed!5m2!4m1!1i2!8m2!3d1.462894!4d103.763229!16s%2Fg%2F11fsb21cw5!19sChIJ9RaVVsMS2jER7bRlolkdU7E?authuser=0&hl=en&rclk=1,4.3,4-star hotel,1.462894,103.763229
"hotel near Johor Bahru, Johor",hotel,Johor Bahru,Johor,Citrus Hotel Johor Bahru by Compass Hospitality,https://www.google.com/maps/place/Citrus+Hotel+Johor+Bahru+by+Compass+Hospitality/data=!4m10!3m9!1s0x31da12dd2698d9f3:0x61b7bd861b7143b1!5m2!4m1!1i2!8m2!3d1.460476!4d103.764661!16s%2Fg%2F1tc_t2sr!19sChIJ89mYJt0S2jERsUNxG4a9t2E?authuser=0&hl=en&rclk=1,3.7,4-star hotel,1.460476,103.764661
"hotel near Johor Bahru, Johor",hotel,Johor Bahru,Johor,TROVE Johor Bahru,https://www.google.com/maps/place/TROVE+Johor+Bahru/data=!4m10!3m9!1s0x31da6d331c6599ab:0x43922c9f78366bd6!5m2!4m1!1i2!8m2!3d1.4774702!4d103.7630825!16s%2Fg%2F1tsclj4p!19sChIJq5llHDNt2jER1ms2eJ8skkM?authuser=0&hl=en&rclk=1,4.1,4-star hotel,1.4774702,103.7630825
"hotel near Johor Bahru, Johor",hotel,Johor Bahru,Johor,Holiday Villa Johor Bahru City Centre,https://www.google.com/maps/place/Holiday+Villa+Johor+Bahru+City+Centre/data=!4m10!3m9!1s0x31da6d3a98e37e0b:0xa5285b47ba614dca!5m2!4m1!1i2!8m2!3d1.487205!4d103.7614432!16s%2Fg%2F11bwdj3ngc!19sChIJC37jmDpt2jERyk1hukdbKKU?authuser=0&hl=en&rclk=1,4.2,4-star hotel,1.487205,103.7614432
"hotel near Johor Bahru, Johor",hotel,Johor Bahru,Johor,Thistle Johor Bahru,https://www.google.com/maps/place/Thistle+Johor+Bahru/data=!4m10!3m9!1s0x31da12bc8ca8e977:0xdb7695cfabd7d54a!5m2!4m1!1i2!8m2!3d1.4622245!4d103.7435984!16s%2Fg%2F1tg37m23!19sChIJd-mojLwS2jERStXXq8-Vdts?authuser=0&hl=en&rclk=1,3.9,5-star hotel,1.4622245,103.7435984
"hotel near Johor Bahru, Johor",hotel,Johor Bahru,Johor,Grand Sentosa Hotel,https://www.google.com/maps/place/Grand+Sentosa+Hotel/data=!4m10!3m9!1s0x31da6d23ebfa35e3:0x446c8320d39aaedc!5m2!4m1!1i2!8m2!3d1.4926553!4d103.7683366!16s%2Fg%2F1wj_qt2f!19sChIJ4zX66yNt2jER3K6a0yCDbEQ?authuser=0&hl=en&rclk=1,3.8,3-star hotel,1.4926553,103.7683366
"hotel near Johor Bahru, Johor",hotel,Johor Bahru,Johor,DoubleTree by Hilton Johor Bahru,https://www.google.com/maps/place/DoubleTree+by+Hilton+Johor+Bahru/data=!4m10!3m9!1s0x31da12c4524750a3:0xcc1628db5d3eb03b!5m2!4m1!1i2!8m2!3d1.4653208!4d103.7600489!16s%2Fg%2F11b639pn8h!19sChIJo1BHUsQS2jERO7A-XdsoFsw?authuser=0&hl=en&rclk=1,4.5,4-star hotel,1.4653208,103.7600489
"hotel near Johor Bahru, Johor",hotel,Johor Bahru,Johor,JO Hotel Johor Bahru,https://www.google.com/maps/place/JO+Hotel+Johor+Bahru/data=!4m10!3m9!1s0x31da12c5ac955555:0x37b7b2c93ae895de!5m2!4m1!1i2!8m2!3d1.465697!4d103.760316!16s%2Fg%2F11clhq4bjf!19sChIJVVWVrMUS2jER3pXoOsmytzc?authuser=0&hl=en&rclk=1,3.7,3-star hotel,1.465697,103.760316
"hotel near Johor Bahru, Johor",hotel,Johor Bahru,Johor,"Berjaya Waterfront Hotel, Johor Bahru","https://www.google.com/maps/place/Berjaya+Waterfront+Hotel,+Johor+Bahru/data=!4m10!3m9!1s0x31da132eeb6980bd:0xba88909cd730ff77!5m2!4m1!1i2!8m2!3d1.4711167!4d103.7830119!16s%2Fg%2F1tj712_m!19sChIJvYBp6y4T2jERd_8w15yQiLo?authuser=0&hl=en&rclk=1",4.2,4-star hotel,1.4711167,103.7830119
"hotel near Johor Bahru, Johor",hotel,Johor Bahru,Johor,Z Hotel,https://www.google.com/maps/place/Z+Hotel/data=!4m10!3m9!1s0x31da12e790493487:0xdb6bf86c19584f73!5m2!4m1!1i2!8m2!3d1.4578412!4d103.7657121!16s%2Fg%2F11qpkdcs3w!19sChIJhzRJkOcS2jERc09YGWz4a9s?authuser=0&hl=en&rclk=1,4.4,3-star hotel,1.4578412,103.7657121
